nam,thang,giaphong,dientich,vido,kinhdo,loai,drmd,kcdc,loaiwc,giuongtu,banghe,nonglanh,dieuhoa,tulanh,maygiat,tivi,bep,gacxep,thangmay,bancong,chodexe
2020,8,2600000,16.0,21.0565362,105.7843483,Nhatang,7.8,5.0,Khepkin,0,0,1,0,0,0,0,0,1,0,0,1
2020,10,4500000,42.0,21.053614,105.788117,Nhatang,7.8,5.0,Khepkin,0,0,0,0,0,0,0,1,1,0,0,0
2018,9,2000000,20.0,21.057599,105.78522,Nhatang,3.7,130.0,Khepkin,1,0,0,1,0,0,0,0,0,0,0,0
2019,8,1500000,18.0,21.058918,105.784535,Nhatang,2.8,120.0,Khepkin,0,0,0,0,0,0,0,0,1,0,1,1
2018,1,2200000,26.0,21.053792,105.786237,Nhatang,2.5,87.0,Khepkin,0,0,0,0,0,0,0,0,1,0,0,1
2019,8,1500000,19.0,21.058934,105.784545,Nhatang,2.8,120.0,Khepkin,0,0,0,0,0,0,0,0,1,0,1,1
2017,3,2500000,20.0,21.05136,105.789157,Nhatang,5.5,20.0,Khepkin,0,0,1,1,0,0,0,0,0,0,1,1
2021,3,3000000,25.0,20.979702,105.780597,Nhatang,3.6,90.23,Khepkin,1,0,1,1,1,1,0,1,0,1,1,1
2021,2,3200000,25.0,20.979614,105.780206,Nhatang,3.6,23.23,Khepkin,1,1,1,1,1,1,0,1,0,1,1,1
2020,11,2500000,14.0,20.976478,105.780946,Nhatang,3.2,60.4,Khepkin,0,0,0,0,0,1,0,0,0,0,0,0
2021,4,1000000,13.0,20.977846,105.798198,Nhacap,2.1,120.0,KKK,1,0,0,0,0,0,0,0,0,0,0,1
2020,5,6500000,65.0,20.9867708,105.7801399,Nhatang,6.3,10.5,Khepkin,1,1,1,0,0,0,1,0,0,0,0,1
2021,4,3200000,30.0,21.083159,105.773456,Ccmn,3.5,35.0,Khepkin,1,1,1,1,0,1,0,0,0,0,1,1
2020,3,4200000,40.0,20.980082,105.779856,Nhatang,3.2,12.5,Khepkin,0,0,1,0,0,0,0,1,0,0,1,1
2019,2,3200000,20.0,20.979588,105.780113,Nhatang,2.1,20.5,Khepkin,1,0,1,1,0,0,0,0,0,1,0,1
2021,2,2900000,25.0,20.979614,105.780206,Nhacap,3.6,100.23,Khepkin,1,1,1,1,1,1,0,1,0,1,1,1
2019,8,1500000,9.0,20.9806809,105.77902316,Nhatang,5.4,10.5,Khepkin,1,0,1,0,0,0,0,0,0,0,0,0
2021,4,2200000,30.0,21.083159,105.773456,Nhacap,2.5,100.0,Khepkin,1,1,1,1,0,1,0,0,0,0,1,1
2021,3,4500000,50.0,21.040638,105.80851,Nhatang,6.2,128.0,KKK,1,0,1,1,0,0,0,1,0,0,1,1
2020,7,2900000,27.0,21.037411,105.808723,Nhatang,6.6,168.0,Khepkin,0,0,1,1,0,0,0,0,0,0,0,0
2018,12,1800000,18.0,21.034672,105.805896,Nhatang,7.2,10.0,Khepkin,1,0,0,0,0,0,0,1,0,0,0,1
2021,2,3100000,25.0,20.979614,105.780206,Nhatang,3.6,100.23,Khepkin,1,1,1,1,1,1,0,1,0,1,1,1
2016,6,1700000,20.0,21.034901,105.807191,Nhatang,3.5,10.0,Khepkin,0,0,0,0,0,0,0,0,1,0,0,0
2021,4,1200000,23.0,20.980353,105.801553,Nhacap,2.1,344.0,KKK,1,1,0,0,1,1,0,1,0,0,0,0
2019,8,2200000,25.0,21.032641,105.804752,Nhatang,2.3,52.56,Khepkin,1,0,0,0,0,0,0,1,0,0,0,0
2019,8,2000000,25.0,21.032641,105.804752,Nhacap,2.3,52.56,Khepkin,1,0,0,0,0,0,0,1,0,0,0,0
2016,6,2200000,18.0,21.041531,105.806798,Nhatang,9.2,5.0,Khepkin,1,0,1,1,0,0,0,0,0,0,0,0
2017,6,2000000,25.0,21.050085,105.810452,Nhatang,2.7,242.0,KKK,1,0,1,0,0,0,0,0,0,0,0,0
